Rank_2018,City,State,Est_Census_2018,Landarea_2016,Pop_Density_2016,Latitude,Longitude,Census_1880,Census_1890,Census_1900,Census_1910,Census_1920,Census_1930,Census_1940,Census_1950,Census_1960,Census_1970,Census_1980,Census_1990,Census_2000,Census_2010,Census_2017
160, Hayward,  California,159620,117.8,1349,37.6287,-122.1024,1231.0,1419.0,1965.0,2746.0,3487.0,5530.0,6736.0,14272.0,72700.0,93058.0,93585.0,111498.0,140030.0,144186.0,160500.0
161, Lancaster,  California,159053,244.2,656,34.6936,-118.1753,,,,,,,,,26012.0,30948.0,48027.0,97291.0,118718.0,156633.0,160316.0
162, Lakewood,  Colorado,156798,111.1,1390,39.6989,-105.1176,,,,,,,,,19338.0,92743.0,113808.0,126481.0,144126.0,142980.0,154958.0
163, Clarksville,  Tennessee,156794,254.6,590,36.5664,-87.3452,3880.0,7924.0,9431.0,8548.0,8110.0,9242.0,11831.0,16246.0,22021.0,31719.0,54777.0,75494.0,103455.0,132929.0,
164, Palmdale,  California,156667,274.5,573,34.5910,-118.1054,,,,,,,,,11522.0,8511.0,12277.0,68842.0,116670.0,152750.0,157519.0
165, Salinas,  California,156259,61.1,2572,36.6902,-121.6337,1854.0,2339.0,3304.0,3736.0,4308.0,10263.0,11586.0,13917.0,28957.0,58896.0,80479.0,108777.0,151060.0,150441.0,157596.0
166, Springfield,  Massachusetts,155032,82.6,1860,42.1155,-72.5400,33340.0,44179.0,62059.0,88926.0,129614.0,149900.0,149554.0,162399.0,174463.0,163905.0,152319.0,156983.0,152082.0,153060.0,
167, Hollywood,  Florida,154823,70.7,2150,26.0310,-80.1646,,,,,,2689.0,6239.0,14351.0,35237.0,106873.0,121323.0,121697.0,139357.0,140768.0,153627.0
168, Pasadena,  Texas,153219,112.7,1361,29.6586,-95.1506,,,,,,1647.0,3436.0,22483.0,58737.0,89957.0,112560.0,119363.0,141674.0,149043.0,153520.0
169, Sunnyvale,  California,153185,57.0,2681,37.3858,-122.0263,,,,,,3094.0,4373.0,9829.0,59898.0,95976.0,106618.0,117229.0,131760.0,140081.0,153656.0
170, Macon,  Georgia,153095,645.7,236,32.8088,-83.6942,12749.0,22746.0,23272.0,40665.0,52995.0,53829.0,57865.0,70252.0,69764.0,122423.0,116896.0,106612.0,97255.0,91351.0,152663.0
171, Kansas City,  Kansas,152958,323.2,470,39.1225,-94.7418,3200.0,38316.0,51418.0,82331.0,101177.0,121857.0,121458.0,129553.0,121901.0,168213.0,161087.0,149767.0,146866.0,145786.0,152938.0
172, Pomona,  California,152361,59.6,2560,34.0585,-117.7611,,3634.0,5526.0,10207.0,13505.0,20804.0,23539.0,35405.0,67157.0,87384.0,92742.0,131723.0,149473.0,149058.0,152939.0
173, Escondido,  California,152213,96.1,1578,33.1331,-117.0740,,541.0,755.0,,,3421.0,4560.0,6544.0,16377.0,36792.0,64355.0,108635.0,133559.0,143911.0,151969.0
174, Killeen,  Texas,149103,138.6,1030,31.0777,-97.7320,,285.0,780.0,1265.0,1208.0,1260.0,1268.0,7045.0,23377.0,35507.0,46296.0,63535.0,86911.0,127921.0,145482.0
175, Naperville,  Illinois,148304,100.2,1468,41.7492,-88.1620,2073.0,2216.0,2629.0,3449.0,3830.0,5118.0,5272.0,7013.0,12933.0,22794.0,42330.0,85351.0,128358.0,141853.0,147682.0
176, Joliet,  Illinois,148099,166.8,889,41.5177,-88.1488,11657.0,23264.0,29353.0,34670.0,38442.0,42993.0,42365.0,51601.0,66780.0,78827.0,77956.0,76836.0,106221.0,147459.0,148462.0
177, Bellevue,  Washington,147599,86.8,1630,47.5979,-122.1565,,,254.0,150.0,1213.0,1071.0,1177.0,7658.0,12809.0,61196.0,73903.0,86874.0,109569.0,122363.0,144444.0
178, Rockford,  Illinois,146526,164.5,898,42.2588,-89.0646,13120.0,23584.0,31051.0,45401.0,64651.0,85864.0,84637.0,92927.0,126706.0,147370.0,139712.0,139426.0,150115.0,152871.0,147051.0
179, Savannah,  Georgia,145862,268.3,547,32.0025,-81.1536,30709.0,43189.0,54244.0,65064.0,83252.0,85024.0,95996.0,119638.0,149245.0,118349.0,141654.0,137560.0,131510.0,136286.0,
180, Paterson,  New Jersey,145627,21.8,6800,40.9148,-74.1628,51031.0,78347.0,105171.0,125600.0,135875.0,138513.0,139656.0,139336.0,143663.0,144824.0,137970.0,140891.0,149222.0,146199.0,
181, Torrance,  California,145182,53.1,2770,33.8350,-118.3414,,,,,,7271.0,9950.0,22241.0,100991.0,134968.0,129881.0,133107.0,137946.0,145438.0,146758.0
